Age,Fare
20.0,7.05
47.0,14.5
29.0,26.0
25.0,13.0
23.0,15.0458
19.0,26.2833
37.0,53.1
16.0,9.2167
24.0,79.2
,15.2458
22.0,7.75
24.0,15.85
19.0,6.75
18.0,11.5
19.0,36.75
27.0,7.7958
9.0,34.375
36.5,26.0
42.0,13.0
51.0,12.525
22.0,66.6
55.5,8.05
40.5,14.5
,7.3125
51.0,61.3792
16.0,7.7333
30.0,8.05
,8.6625
,69.55
44.0,16.1
40.0,15.75
26.0,7.775
17.0,8.6625
1.0,39.6875
9.0,20.525
,55.0
45.0,27.9
,25.925
28.0,56.4958
61.0,33.5
4.0,29.125
1.0,11.1333
21.0,7.925
56.0,30.6958
18.0,7.8542
,25.4667
50.0,28.7125
30.0,13.0
36.0,0.0
,69.55
,15.05
9.0,31.3875
1.0,39.0
4.0,22.025
,50.0
,15.5
45.0,26.55
40.0,15.5
36.0,7.8958
32.0,13.0
19.0,13.0
19.0,7.8542
3.0,26.0
44.0,27.7208
58.0,146.5208
,7.75
42.0,8.4042
,7.75
24.0,13.0
28.0,9.5
,69.55
34.0,6.4958
45.5,7.225
18.0,8.05
2.0,10.4625
32.0,15.85
26.0,18.7875
16.0,7.75
40.0,31.0
24.0,7.05
35.0,21.0
22.0,7.25
30.0,13.0
,7.75
31.0,113.275
27.0,7.925
42.0,27.0
32.0,76.2917
30.0,10.5
16.0,8.05
27.0,13.0
51.0,8.05
,7.8958
38.0,90.0
22.0,9.35
19.0,10.5
20.5,7.25
18.0,13.0
,25.4667
35.0,83.475
29.0,7.775
59.0,13.5
5.0,31.3875
24.0,10.5
,7.55
44.0,26.0
8.0,26.25
19.0,10.5
33.0,12.275
,14.4542
,15.5
29.0,10.5
22.0,7.125
30.0,7.225
44.0,90.0
25.0,7.775
24.0,14.5
37.0,52.5542
54.0,26.0
,7.25
29.0,10.4625
62.0,26.55
30.0,16.1
41.0,20.2125
29.0,15.2458
,79.2
30.0,86.5
35.0,512.3292
50.0,26.0
,7.75
3.0,31.3875
52.0,79.65
40.0,0.0
,7.75
36.0,10.5
16.0,39.6875
25.0,7.775
58.0,153.4625
35.0,135.6333
,31.0
25.0,0.0
41.0,19.5
37.0,29.7
,7.75
63.0,77.9583
45.0,7.75
,0.0
7.0,29.125
35.0,20.25
65.0,7.75
28.0,7.8542
16.0,9.5
19.0,8.05
,26.0
33.0,8.6625
30.0,9.5
22.0,7.8958
42.0,13.0
22.0,7.75
26.0,78.85
19.0,91.0792
36.0,12.875
24.0,8.85
24.0,7.8958
,27.7208
23.5,7.2292
2.0,151.55
,30.5
50.0,247.5208
,7.75
,23.25
19.0,0.0
,12.35
,8.05
0.92,151.55
,110.8833
17.0,108.9
30.0,24.0
30.0,56.9292
24.0,83.1583
18.0,262.375
26.0,26.0
28.0,7.8958
43.0,26.25
26.0,7.8542
24.0,26.0
54.0,14.0
31.0,164.8667
40.0,134.5
22.0,7.25
27.0,7.8958
30.0,12.35
22.0,29.0
,69.55
36.0,135.6333
61.0,6.2375
36.0,13.0
31.0,20.525
16.0,57.9792
,23.25
45.5,28.5
38.0,153.4625
16.0,18.0
,133.65
,7.8958
29.0,66.6
41.0,134.5
45.0,8.05
45.0,35.5
2.0,26.0
24.0,263.0
28.0,13.0
25.0,13.0
36.0,13.0
24.0,13.0
40.0,13.0
,16.1
3.0,15.9
42.0,8.6625
23.0,9.225
,35.0
15.0,7.2292
25.0,17.8
,7.225
28.0,9.5
22.0,55.0
38.0,13.0
,7.8792
,7.8792
40.0,27.9
29.0,27.7208
45.0,14.4542
35.0,7.05
,15.5
30.0,7.25
60.0,75.25
,7.2292
,7.75
24.0,69.3
25.0,55.4417
18.0,6.4958
19.0,8.05
22.0,135.6333
3.0,21.075
,82.1708
22.0,7.25
27.0,211.5
20.0,4.0125
19.0,7.775
42.0,227.525
1.0,15.7417
32.0,7.925
35.0,52.0
,7.8958
18.0,73.5
1.0,46.9
36.0,13.0
,7.7292
17.0,12.0
36.0,120.0
21.0,7.7958
28.0,7.925
23.0,113.275
24.0,16.7
22.0,7.7958
31.0,7.8542
46.0,26.0
23.0,10.5
28.0,12.65
39.0,7.925
26.0,8.05
21.0,9.825
28.0,15.85
20.0,8.6625
34.0,21.0
51.0,7.75
3.0,18.75
21.0,7.775
,25.4667
,7.8958
,6.8583
33.0,90.0
,0.0
44.0,7.925
,8.05
34.0,32.5
18.0,13.0
30.0,13.0
10.0,24.15
,7.8958
21.0,7.7333
29.0,7.875
28.0,14.4
18.0,20.2125
,7.25
28.0,26.0
19.0,26.0
,7.75
32.0,8.05
28.0,26.55
,16.1
42.0,26.0
17.0,7.125
50.0,55.9
14.0,120.0
21.0,34.375
24.0,18.75
64.0,263.0
31.0,10.5
45.0,26.25
20.0,9.5
25.0,7.775
28.0,13.0
,8.1125
4.0,81.8583
13.0,19.5
34.0,26.55
5.0,19.2583
52.0,30.5
36.0,27.75
,19.9667
30.0,27.75
49.0,89.1042
,8.05
29.0,7.8958
65.0,26.55
,51.8625
50.0,10.5
,7.75
48.0,26.55
34.0,8.05
47.0,38.5
48.0,13.0
,8.05
38.0,7.05
,0.0
56.0,26.55
,7.725
0.75,19.2583
,7.25
38.0,8.6625
33.0,27.75
23.0,13.7917
22.0,9.8375
,52.0
34.0,21.0
29.0,7.0458
22.0,7.5208
2.0,12.2875
9.0,46.9
,0.0
50.0,8.05
63.0,9.5875
25.0,91.0792
,25.4667
35.0,90.0
58.0,29.7
30.0,8.05
9.0,15.9
,19.9667
21.0,7.25
55.0,30.5
71.0,49.5042
21.0,8.05
,14.4583
54.0,78.2667
,15.1
25.0,151.55
24.0,7.7958
17.0,8.6625
21.0,7.75
,7.6292
37.0,9.5875
16.0,86.5
18.0,108.9
33.0,26.0
,26.55
28.0,22.525
26.0,56.4958
29.0,7.75
,8.05
36.0,26.2875
54.0,59.4
24.0,7.4958
47.0,34.0208
34.0,10.5
,24.15
36.0,26.0
32.0,7.8958
30.0,93.5
22.0,7.8958
,7.225
44.0,57.9792
,7.2292
40.5,7.75
50.0,10.5
,221.7792
39.0,7.925
23.0,11.5
2.0,26.0
,7.2292
17.0,7.2292
,22.3583
30.0,8.6625
7.0,26.25
45.0,26.55
30.0,106.425
,14.5
22.0,49.5
36.0,71.0
9.0,31.275
11.0,31.275
32.0,26.0
50.0,106.425
64.0,26.0
19.0,26.0
,13.8625
33.0,20.525
8.0,36.75
17.0,110.8833
27.0,26.0
,7.8292
22.0,7.225
22.0,7.775
62.0,26.55
48.0,39.6
,227.525
39.0,79.65
36.0,17.4
,7.75
40.0,7.8958
28.0,13.5
,8.05
,8.05
24.0,24.15
19.0,7.8958
29.0,21.075
,7.2292
32.0,7.8542
62.0,10.5
53.0,51.4792
36.0,26.3875
,7.75
16.0,8.05
19.0,14.5
34.0,13.0
39.0,55.9
,14.4583
32.0,7.925
25.0,30.0
39.0,110.8833
54.0,26.0
36.0,40.125
,8.7125
18.0,79.65
47.0,15.0
60.0,79.2
22.0,8.05
,8.05
35.0,7.125
52.0,78.2667
47.0,7.25
,7.75
37.0,26.0
36.0,24.15
,33.0
49.0,0.0
,7.225
49.0,56.9292
24.0,27.0
,7.8958
,42.4
44.0,8.05
35.0,26.55
36.0,15.55
30.0,7.8958
27.0,30.5
22.0,41.5792
40.0,153.4625
39.0,31.275
,7.05
,15.5
,7.75
35.0,8.05
24.0,65.0
34.0,14.4
26.0,16.1
4.0,39.0
26.0,10.5
27.0,14.4542
42.0,52.5542
20.0,15.7417
21.0,7.8542
21.0,16.1
61.0,32.3208
57.0,12.35
21.0,77.9583
26.0,7.8958
,7.7333
80.0,30.0
51.0,7.0542
32.0,30.5
,0.0
9.0,27.9
28.0,13.0
32.0,7.925
31.0,26.25
41.0,39.6875
,16.1
20.0,7.8542
24.0,69.3
2.0,27.9
,56.4958
0.75,19.2583
48.0,76.7292
19.0,7.8958
56.0,35.5
,7.55
23.0,7.55
,7.8958
18.0,23.0
21.0,8.4333
,7.8292
18.0,6.75
24.0,73.5
,7.8958
32.0,15.5
23.0,13.0
58.0,113.275
50.0,133.65
40.0,7.225
47.0,25.5875
36.0,7.4958
20.0,7.925
32.0,73.5
25.0,13.0
,7.775
43.0,8.05
,52.0
40.0,39.0
31.0,52.0
70.0,10.5
31.0,13.0
,0.0
18.0,7.775
24.5,8.05
18.0,9.8417
43.0,46.9
36.0,512.3292
,8.1375
27.0,76.7292
20.0,9.225
14.0,46.9
60.0,39.0
25.0,41.5792
14.0,39.6875
19.0,10.1708
18.0,7.7958
15.0,211.3375
31.0,57.0
4.0,13.4167
,56.4958
25.0,7.225
60.0,26.55
52.0,13.5
44.0,8.05
,7.7333
49.0,110.8833
42.0,7.65
18.0,227.525
35.0,26.2875
18.0,14.4542
25.0,7.7417
26.0,7.8542
39.0,26.0
45.0,13.5
42.0,26.2875
22.0,151.55
,15.2458
24.0,49.5042
,26.55
48.0,52.0
29.0,9.4833
52.0,13.0
19.0,7.65
38.0,227.525
27.0,10.5
,15.5
33.0,7.775
6.0,33.0
17.0,7.0542
34.0,13.0
50.0,13.0
27.0,53.1
20.0,8.6625
30.0,21.0
,7.7375
25.0,26.0
25.0,7.925
29.0,211.3375
11.0,18.7875
,0.0
23.0,13.0
23.0,13.0
28.5,16.1
48.0,34.375
35.0,512.3292
,7.8958
,7.8958
,30.0
36.0,78.85
21.0,262.375
24.0,16.1
31.0,7.925
70.0,71.0
16.0,20.25
30.0,13.0
19.0,53.1
31.0,7.75
4.0,23.0
6.0,12.475
33.0,9.5
23.0,7.8958
48.0,65.0
0.67,14.5
28.0,7.7958
18.0,11.5
34.0,8.05
33.0,86.5
,14.5
41.0,7.125
20.0,7.2292
36.0,120.0
16.0,7.775
51.0,77.9583
,39.6
30.5,7.75
,24.15
32.0,8.3625
24.0,9.5
48.0,7.8542
57.0,10.5
,7.225
54.0,23.0
18.0,7.75
,7.75
5.0,12.475
,7.7375
43.0,211.3375
13.0,7.2292
17.0,57.0
29.0,30.0
,23.45
25.0,7.05
25.0,7.25
18.0,7.4958
8.0,29.125
1.0,20.575
46.0,79.2
,7.75
16.0,26.0
,69.55
,30.6958
25.0,7.8958
39.0,13.0
49.0,25.9292
31.0,8.6833
30.0,7.2292
30.0,24.15
34.0,13.0
31.0,26.25
11.0,120.0
0.42,8.5167
27.0,6.975
31.0,7.775
39.0,0.0
18.0,7.775
39.0,13.0
33.0,53.1
26.0,7.8875
39.0,24.15
35.0,10.5
6.0,31.275
30.5,8.05
,0.0
23.0,7.925
31.0,37.0042
43.0,6.45
10.0,27.9
52.0,93.5
27.0,8.6625
38.0,0.0
27.0,12.475
2.0,39.6875
,6.95
,56.4958
1.0,37.0042
,7.75
62.0,80.0
15.0,14.4542
0.83,18.75
,7.2292
23.0,7.8542
18.0,8.3
39.0,83.1583
21.0,8.6625
,8.05
32.0,56.4958
,29.7
20.0,7.925
16.0,10.5
30.0,31.0
34.5,6.4375
17.0,8.6625
42.0,7.55
,69.55
35.0,7.8958
28.0,33.0
,89.1042
4.0,31.275
74.0,7.775
9.0,15.2458
16.0,39.4
44.0,26.0
18.0,9.35
45.0,164.8667
51.0,26.55
24.0,19.2583
,7.2292
41.0,14.1083
21.0,11.5
48.0,25.9292
,69.55
24.0,13.0
42.0,13.0
27.0,13.8583
31.0,50.4958
,9.5
4.0,11.1333
26.0,7.8958
47.0,52.5542
33.0,5.0
47.0,9.0
28.0,24.0
15.0,7.225
20.0,9.8458
19.0,7.8958
,7.8958
56.0,83.1583
25.0,26.0
33.0,7.8958
22.0,10.5167
28.0,10.5
25.0,7.05
39.0,29.125
27.0,13.0
19.0,30.0
,23.45
26.0,30.0
32.0,7.75
